Appreciation of Beauty & Excellence,Transcendence,some info
Bravery,Courage,some info
Creativity,Wisdom,some info
Curiosity,Wisdom,some info
Fairness,Justice,some info
Forgiveness,Temperance,some info
Gratitude,Transcendence,some info
Honesty,Courage,some info
Hope,Transcendence,some info
Humility,Temperance,some info
Humor,Transcendence,some info
Judgment,Wisdom,some info
Kindness,Humanity,some info
Leadership,Justice,some info
Love,Humanity,some info
Love of Learning,Wisdom,some info
Perseverance ,Courage,some info
Perspective,Wisdom,some info
Prudence,Temperance,some info
Self-Regulation,Temperance,some info
Social Intelligence,Humanity,some info
Spirituality,Transcendence,some info
Teamwork,Justice,some info
Zest,Courage,some info
