character strength,virtue,info
Appreciation of Beauty & Excellence,Transcendence,some info
Bravery,Courage,some info
Creativity,Wisdom,
Curiosity,Wisdom,
Fairness,Justice,
Forgiveness,Temperance,some info
Gratitude,Transcendence,some info
,Courage,some info
,Transcendence,some info
,Temperance,some info
Humor,Transcendence,some info
Judgment,,some info
Kindness,,some info
Leadership,,some info
Love,Humanity,some info
Love of Learning,Wisdom,some info
Perseverance ,Courage,some info
Perspective,Wisdom,some info
Prudence,Temperance,some info
Self-Regulation,Temperance,some info
Social Intelligence,Humanity,some info
Spirituality,Transcendence,some info
Teamwork,Justice,some info
Zest,Courage,some info
